'-35.349995','149.089214','Phillip Salvos Store','Phillip Market Place, off Botany Street'
'-34.060794','150.813644','Campbelltown Family Store','21 Badgally Road CAMPBELLTOWN'
'-32.837360','151.357137','Cessnock Family Store','14 Hall Street CESSNOCK NSW '
'-33.796815','151.185148','Chatswood Family Store','Shop 3, 3-9 Spring Street CHATSWOOD '
'-30.296471','153.117203','Coffs Harbour Family Store','27 Gordon Street COFFS HARBOUR'
'-36.224810','149.130552','Cooma Family Store','2-8 Mittagang Road COOMA '
'-34.640299','148.025850','Cootamundra Family Store','70 Wallendoon Street COOTAMUNDRA'
'-33.835772','148.688821','Cowra Family Store','5 Macquarie Street COWRA'
'-32.250980','148.605222','Dubbo Family Store','219 Darling St DUBBO'
'-33.903749','151.142237','Dulwich Hill Family Store','408-412 New Canterbury Road DULWICH HILL'
'-34.064567','151.011844','Engadine Family Store','5/10 Waratah Street ENGADINE'
'-29.739025','151.734833','Glenn Innes Family Store','126 Bourke Street GLEN INNES'
'-34.763488','149.710981','Goulburn Family Store','1 Auburn Street GOULBURN'
'-29.690290','152.935402','Grafton Family Stores','101 Pound Street GRAFTON'
'-33.893413','148.159235','Grenfell Family Store','54 Main Street GRENFELL'
'-34.286973','146.041989','Griffith Family Store','431 Banna Avenue GRIFFITH'
'-30.978877','150.250212','Gunnedah Family Store','73 Barber Street GUNNEDAH'
'-33.702807','151.104955','Hornsby Family Store','29-31 Burdett Street HORNSBY NSW'
'-29.774882','151.111733','Inverell Family Store','45 Otho Street INVERELL'
'-33.714127','150.311855','Katoomba Family Store','3/88 Katoomba Street KATOOMBA'
'-32.816597','151.483772','Kurri Kurri Family Store','115-117 Lang Street KURRI KURRI'
'-34.552245','146.405909','Leeton Family Store','6 Kurrajong Ave LEETON NSW'
'-28.808346','153.277985','Lismore Family Store','10 County Lane LISMORE'
'-28.808505','153.279304','Lismore Family Store No. 2','104 Keen Street LISMORE'
'-33.481073','150.157945','Lithgow Family Store','91 Main Street LITHGOW'
'-30.707106','152.922203','Macksville Family Store','20 River Road MACKSVILLE'
'-29.457455','153.196639','Maclean Family Store','Shop 3, 249 River Street MACLEAN'
'-30.748856','150.721252','Manilla Family Store','95 Manilla Street MANILLA '
'-36.887883','149.911415','Merimbula Family Store','3 Alice Street MERIMBULA '
'-29.466420','149.841601','Moree Family Store','201 Balo Street MOREE'
'-33.108349','151.486982','Morisett Family Store','14/99 Dora Street MORISETT'
'-32.594945','149.588229','Mudgee Family Store','73 Church Street MUDGEE'
'-30.323595','149.784932','Narrabri Family Store','19 Doyle Street NARRABRI'
'-33.830239','151.221897','Neutral Bay Family Store','Shop 5, 27 Grosvenor Street NEUTRAL BAY'
'-33.956922','151.002071','Panania Family Store','173 Tower Street PANANIA'
'-33.813287','151.007255','Parramatta Jumble Store','97 Phillip Street PARRAMATTA'
'-31.448699','152.891644','Port Macquarie Family Store','183 Lake Road PORT MACQUARIE'
'-32.561000','151.171806','Singleton Family Store','227 John Street SINGLETON'
'-31.091743','150.930821','Tamworth Family Store','186 Peel Street TAMWORTH'
'-31.911353','152.457971','Taree Family Store','67 Pulteney Street TAREE'
'-34.449236','147.533175','Temora Family Store','Cnr Victoria & Baker Streets TEMORA'
'-29.055423','152.017494','Tenterfield Family Store','Crown Street TENTERFIELD'
'-33.265021','151.540472','Tuggerah Lakes Family Store','28 Canton Beach Road TOUKLEY'
'-28.255847','153.575874','Tweed Heads Family Store','22 Pearl Street Kingscliff'
'-35.121306','147.361670','Wagga Wagga Family Store','188 Edward Street WAGGA WAGGA'
'-31.456072','152.733971','Wauchope Family Store','6 Young Street WAUCHOPE'
'-32.909657','151.583668','West Wallsend Family Store','Shop 10, The Store Building, Withers Street WEST WALLSEND'
'-33.922890','147.203186','West Wyalong Family Store','192 Main Street WEST WYALONG'
'-29.070619','153.346794','Woodburn Family Store','110 River Street WOODBURN'
'-30.111060','153.201319','Woolgoolga Family Store','9 Market Street WOOLGOOLGA'
'-34.310939','148.293477','Young Family Store','Clarke Street YOUNG'
'-34.494001','150.793006','Dapto UnitingCare Op Shop','Dapto'
'-37.829905','147.614233','RSPCA','373 Main Street,Bairnsdale'
'-37.852335','145.132764','RSPCA','Shops 9 & 10, 2-8 Burwood Hwy,Burwood East'
'-37.067609','144.220533','RSPCA','86 Forest Street,Castlemaine'
'-38.145276','145.123108','RSPCA','4 Peninsula Walk, Cnr Playne and Young St,Frankston'
'-38.155608','144.345768','RSPCA','316 Pakington Street Newtown, Geelong'
'-34.191812','142.155105','RSPCA','200a Deakin Avenue, Mildura'
'-38.177400','146.262519','RSPCA','37 Lloyd Street, Moe'
'-38.222209','145.040090','RSPCA','193 Main Street, Mornington'
'-38.348029','141.603912','RSPCA','44B Percy Street, Portland'
'-35.339095','143.558786','RSPCA','45 McCallum Street, Swan Hill '
'-36.365819','146.317022','RSPCA','1 & 3 Wills Street, Wangaratta'
'-38.380758','142.480555','RSPCA','120 Fairy Street, Warrnambool'
'-37.733549','144.882097','Salvation Army - Niddrie','4/302 Keilor Road, Niddrie'
'-37.766780','144.920378','Care Bargain Centre','121 Puckle Street, Moonie Ponds'
'-38.178370','146.261538','Lifeline - Moe','19 Fowler St, Moe'
'-38.234091','146.399358','Lifeline - Morwell','2-8 Fleming St, Morwell'
'-38.243539','146.416881','Salvos - Morwell','160 Commercial Road, Morwell'
'-37.708516','145.082814','Salvos- Watsonia','Shop 3/103 Watsonia Road, Watsonia'
'-38.606512','145.588833','Lifeline - Wonthaggi','175 Graham St, Wonthaggi'
'-37.946061','145.021926','Family Life Opportunity Shop','355 Bluff Road, Hampton'
'-37.967295','145.056645','Youthworx Bargain Store','2/16 Station Road, Cheltenham '
'-37.798648','145.051760','Epilepsy Foundation Of Victoria Opportunity Shop','643 High Street, Kew East'
'-37.812469','145.079523','Salvos - Balwyn','307 Whitehorse Road, Balwyn'
'-37.831387','145.058217','Salvos - Camberwell','529 Riversdale Road, Camberwell '
'-33.194098','138.007924','Lifeline','Unit 4, 79 Esmond Rd, Port Pirie'
'-32.491579','137.772762','Lifeline','9 Augusta Terrace Port Augusta'
'-33.014202','137.542880','Lifeline','Shop 5, George Avenue, Whyalla'
'-32.134830','116.009650','Lifeline','255 Railway Avenue, Kelmscott WA'
'-31.954494','115.863704','Lifeline','57 Murray Street Perth'
'-35.021624','138.614411','Red Cross - Blackwood','354a Sheperds Hill Road, Blackwood'
'-34.712315','138.671089','Red Cross - Elizabeth','Shop 14 165 Woodforde Road, Elizabeth'
'-34.981272','138.518146','Red Cross - Glenelg','Caravan - 14 Partridge Street, Glenelg'
'-35.066615','138.866875','Red Cross - Mt Barker','9 Dutton Road, Mt Barker'
'-34.892032','138.514757','Red Cross - Seaton','181 Trimmer Parade, Seaton'
'-34.872200','138.635260','Red Cross Superstore','317 North East Road, Hampstead Gardens'
'-34.949161','138.607003','Red Cross Superstore','166 Unley Road, Unley'
'-34.653707','139.284258','Red Cross - Cambrai','Sturt Street, Cambrai'
'-31.955643','141.466650','Red Cross - Broken Hill','65 - 67 Oxide street, Broken Hill'
'-34.171738','139.085597','Red Cross - Eudunda','Kapunda Street, Eudunda'
'-34.449767','140.571851','Red Cross - Loxton','Shop 4  6 Edward Street, Loxton'
'-34.068109','137.591200','Red Cross - Moonta','Ellen Street, Moonta'
'-35.117922','139.272905','Red Cross - Murray Bridge','4 Second Street, Murray Bridge'
'-34.273325','138.543807','Red Cross - Owen','Main Street, Owen'
'-34.723968','135.860559','Red Cross - Port Lincoln','36 Napoleon Street, Port Lincoln'
'-33.178021','138.011034','Red Cross - Port Pirie','135 Ellen Street, Port Pirie'
'-34.408703','139.126868','Red Cross - Truro','Moorundie Street, Truro'
'-38.111800','145.275051','Epilepsy Foundation Of Victoria Opportunity Shop','2 Lurline Street, Cranbourne '
'-33.918649','151.033862','Smith Family - Bankstown','1/20-21 Old Town Plaza, Bankstown'
'-33.371862','151.473369','Smith Family - Bateau Bay','8 Community Road, Bateau Bay'
'-33.770290','150.909148','Smith Family - Blacktown','80 Main Street, Blacktown'
'-34.481305','150.414912','Smith Family - Bowral','Shop 4, Cnr Station & Banyette Streets, Bowral'
'-33.885142','151.194833','Smith Family - Broadway','14 City Road, Chippendale, Broadway'
'-34.067054','150.812186','Smith Family - Campbelltown','Shop 9, Dumaresq Street, Campbelltown'
'-33.913824','151.104484','Smith Family - Campsie','323 Beamish Street, Campsie'
'-30.296864','153.114937','Smith Family - Coffs Harbour','66-68/84 City Centre Mall, Park Avenue, Coffs Harbour'
'-33.753360','151.288137','Smith Family - Dee Why','Shop 6, 17 Howard Avenue,Dee Why'
'-32.246889','148.603319','Smith Family - Dubbo','56 Church Street, Dubbo'
'-33.871243','150.957255','Smith Family - Fairfield','97 The Crescent, Fairfield'
'-34.752226','149.718705','Smith Family - Goulburn','Ellesmere Street, Goulburn'
'-33.966815','151.102209','Smith Family - Hurstville','Shop 1/243 Forest Road, Hurstville'
'-33.924559','150.924219','Smith Family - Liverpool','265 George Street, Liverpool'
'-33.911793','151.159567','Smith Family - Marrickville','147 Marrickville Road, Marrickville'
'-33.898874','151.175451','Smith Family - Newtown','1-8/10 Enmore Road, Newtown'
'-33.753829','150.694659','Smith Family - Penrith','82 Station Street, Penrith'
'-31.430677','152.919263','Smith Family - Port Macquarie','Shop 9 Galleria Bldg, William Street, Port Macquarie'
'-33.950918','151.138935','Smith Family - Rockdale','4A/452 Princes Highway, Rockdale'
'-34.484341','150.888061','Smith Family - Warrawong','Mowbray Lane, Warrawong'
